Name,Type,Cuisine,Address,Score
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,5
Grassfed Grill,Chain,Greek,2669  Wildwood Street,5
Spicella Spanish Kitchen,Chain,Spanish,3080  Apple Lane,4
Xin Chao Vietnamese Restaurant,Gourmet,Vietnamese,4301  Thrash Trail,2
Paterro’s Kitchen,Chain,Colombian,4075  Poplar Lane,5
Mediterra Seafood,Gourmet,Greek,4338  Milford Street,0
Street Deli,Gourmet,Indian,1410  Renwick Drive,5
Greenanic Smoothies,Chain,American,2661  Wildwood Street,2
Green Curry,Chain,Indian,1229  Haven Lane,4
Island Grill,Chain,American,3950  Laurel Lane,4
Spicella Spanish Kitchen,Chain,Spanish,3080  Apple Lane,0
Xin Chao Vietnamese Restaurant,Gourmet,Vietnamese,4301  Thrash Trail,3
Spicella Spanish Kitchen,Chain,Spanish,3080  Apple Lane,5
Xin Chao Vietnamese Restaurant,Gourmet,Vietnamese,4301  Thrash Trail,1
Spicella Spanish Kitchen,Chain,Spanish,3080  Apple Lane,3
Xin Chao Vietnamese Restaurant,Gourmet,Vietnamese,4301  Thrash Trail,2
