Name,Type,Cuisine,Address,Score
Grassfed Grill,Gourmet,Greek,1903  Grove Street,0
Cafe da Terra,Gourmet,Brazilian,2669  Wildwood Street,3
Greenanic Smoothies,Chain,American,1229  Haven Lane,3
El Pirata Porch,Chain,Caribbean,2707  Webster Street,1
Cafe da Terra,Gourmet,Brazilian,2669  Wildwood Street,1
Pancake World,Chain,Russian,2497  Stanton Hollow Road,3
Spicella Spanish Kitchen,Gourmet,Spanish,3261  Hornor Avenue,2
Spicella Spanish Kitchen,Gourmet,Spanish,3261  Hornor Avenue,4
Cafe da Terra,Gourmet,Brazilian,2669  Wildwood Street,4
Spicella Spanish Kitchen,Gourmet,Spanish,3261  Hornor Avenue,3
Freddy’s Stove,Chain,American,2661  Wildwood Street,4
Island Grill,Chain,American,3950  Laurel Lane,3
Cafe da Terra,Gourmet,Brazilian,2669  Wildwood Street,1
Cafe da Terra,Gourmet,Brazilian,2669  Wildwood Street,5
Flavoroso,Gourmet,Argentinian ,4742  Eagle Lane,1
Masala,Gourmet,Indian,241  Old Dear Lane,4
Salty Squid,Gourmet,Japanse,2376  Fancher Drive,0
Grandma’s Sweets,Chain ,American,53  Sycamore Road,5
